时间,级别,置信度,消息,截图路径
2025-12-23 15:15:24.057325,DANGER,1.0000,"检测到违规取放操作!",c:\Users\HUAWEI\Desktop\大三上\机器视觉\机器视觉作业\大作业\产线违规取放\screenshots\violation_20251223_151524_057325.jpg
2025-12-23 15:15:27.058438,DANGER,1.0000,"检测到违规取放操作!",c:\Users\HUAWEI\Desktop\大三上\机器视觉\机器视觉作业\大作业\产线违规取放\screenshots\violation_20251223_151527_058438.jpg
2025-12-23 15:15:32.710881,DANGER,1.0000,"检测到违规取放操作!",c:\Users\HUAWEI\Desktop\大三上\机器视觉\机器视觉作业\大作业\产线违规取放\screenshots\violation_20251223_151532_712045.jpg
2025-12-23 15:15:35.846240,DANGER,1.0000,"检测到违规取放操作!",c:\Users\HUAWEI\Desktop\大三上\机器视觉\机器视觉作业\大作业\产线违规取放\screenshots\violation_20251223_151535_846240.jpg
