时间,级别,置信度,消息,截图路径
2025-12-23 15:03:48.613007,DANGER,0.6000,"检测到违规取放操作!",c:\Users\HUAWEI\Desktop\大三上\机器视觉\机器视觉作业\大作业\产线违规取放\screenshots\violation_20251223_150348_614006.jpg
2025-12-23 15:03:56.907895,DANGER,1.0000,"检测到违规取放操作!",c:\Users\HUAWEI\Desktop\大三上\机器视觉\机器视觉作业\大作业\产线违规取放\screenshots\violation_20251223_150356_909155.jpg
