时间,级别,置信度,消息,截图路径
2025-12-23 15:02:47.353964,DANGER,1.0000,"检测到违规取放操作!",c:\Users\HUAWEI\Desktop\大三上\机器视觉\机器视觉作业\大作业\产线违规取放\screenshots\violation_20251223_150247_353964.jpg
2025-12-23 15:02:50.371579,DANGER,1.0000,"检测到违规取放操作!",c:\Users\HUAWEI\Desktop\大三上\机器视觉\机器视觉作业\大作业\产线违规取放\screenshots\violation_20251223_150250_371579.jpg
